项目URL,项目名称,采购人信息,项目金额
https://www.szggzy.com/jygg/details.html?contentId=2493088,2025年南山区应急管理局企业安全培训服务的采购公告,名称：深圳市南山区应急管理局地址：广东省深圳市南山区海德三道,550000
https://www.szggzy.com/jygg/details.html?contentId=2490661,深圳对口帮扶协作汕头2025年“千人培训计划”项目的采购公告,名称：深圳市南山区应急管理局地址：广东省深圳市南山区海德三道,5000000
https://www.szggzy.com/jygg/details.html?contentId=2490342,建筑从业人员安全教育培训（2025年度）的采购公告,名称：深圳市住房和建设局地址：深圳市福田区振华路,5000000000
https://www.szggzy.com/jygg/details.html?contentId=2489348,深圳对口帮扶协作潮州“千人培训计划”2025年项目的采购公告,名称：深圳市住房和建设局地址：深圳市福田区振华路,1998350.00
https://www.szggzy.com/jygg/details.html?contentId=2488457,梅林街道“应急第一响应人”培训及应急队伍一体化救援能力提升项目采购公告,名称：深圳市福田区梅林街道办事处地址：深圳市福田区梅华路,265470.00
https://www.szggzy.com/jygg/details.html?contentId=2481717,深圳市人事考试AI考务培训平台服务项目的采购公告,名称：深圳市考试院地址：深圳市福田区深南大道,3000000000
https://www.szggzy.com/jygg/details.html?contentId=2478205,深圳市光明区光明中学2025年游泳技能培训服务采购公告,名称：深圳市光明区光明中学地址：深圳市光明区光明街道碧园路,330400.00
https://www.szggzy.com/jygg/details.html?contentId=2476393,香港中文大学（深圳）教学培训用外科医疗机械人系统项目（A）招标公告,名称：香港中文大学（深圳）地址：深圳市龙岗区龙翔大道,9805000.00
https://www.szggzy.com/jygg/details.html?contentId=2475868,语文识字写字数字化资源教学平台培训服务项目采购公告,名称：香港中文大学（深圳）地址：深圳市龙岗区龙翔大道,220000.00
https://www.szggzy.com/jygg/details.html?contentId=2475872,CAAC多旋翼无人机驾驶员培训服务项目采购公告,名称：深圳市福田区应急管理局地址：深圳市福田区福民路福田区委区政府,81000.00
https://www.szggzy.com/jygg/details.html?contentId=2475476,2025年福田区学校管理者岗位胜任力提升培训（第二期）项目招标公告,采购人：深圳市福田区教师发展中心地址：深圳市福田区福田街道彩田路,560000.00
https://www.szggzy.com/jygg/details.html?contentId=2475482,2025年福田区财务后勤规范管理培训项目招标公告,名称：深圳市福田区教师发展中心地址：深圳市福田彩田路,735000.0
https://www.szggzy.com/jygg/details.html?contentId=2472204,燃气安全宣传教育培训（第二次招标）的采购公告,名称：深圳市住房和建设局地址：深圳市福田区振华路,30000
https://www.szggzy.com/jygg/details.html?contentId=2470681,梅林街道“应急第一响应人”培训及应急队伍一体化救援能力提升项目采购公告,名称：深圳市福田区梅林街道办事处地址：深圳市福田区梅华路,265470.00
