,href,title,time,联系人,预算金额
40,https://cg.sz-water.com.cn:443/hfcggg/34591.jhtml,深圳市深水宝安水务集团有限公司2024年外勤服务人员服务规范及技能培训采购公告,2024/5/9 10:05,陈琳佳,52110
42,https://cg.sz-water.com.cn:443/hfcggg/34094.jhtml,新《公司法》培训服务项目采购公告,2024/4/29 17:04,金红艳,50000
43,https://cg.sz-water.com.cn:443/hfcggg/33289.jhtml,池州市排水有限公司中高层管理和团队拓展培训服务采购采购公告,2024/4/19 16:04,谷工,150000
44,https://cg.sz-water.com.cn:443/hfcggg/31060.jhtml,深水培训中心微信公众号2024年度运营推广服务项目(二次采购),2024/3/20 11:03,陈雨青,300000
45,https://cg.sz-water.com.cn:443/hfcggg/30644.jhtml,“应急第一响应人”导师培训项目采购公告,2024/3/15 10:03,王凯,220000
46,https://cg.sz-water.com.cn:443/hfcggg/30535.jhtml,深水培训中心2024年“行动领导力工作坊”课程采购采购公告,2024/3/13 17:03,陈雨青,120000
47,https://cg.sz-water.com.cn:443/hfcggg/29896.jhtml,深汕水务公司开展团建拓展培训服务采购项目采购公告,2024/3/1 14:03,邱工,49286
48,https://cg.sz-water.com.cn:443/hfcggg/29330.jhtml,深水培训中心微信公众号2024年度运营推广服务项目采购公告,2024/2/20 14:02,陈雨青,300000
49,https://cg.sz-water.com.cn:443/hfcggg/27239.jhtml,深水培训在线学习平台2024年度运营服务项目采购公告,2024/1/12 16:01,王凯,400000
50,https://cg.sz-water.com.cn:443/hfcggg/24382.jhtml,团队建设及目标管理培训课程(二次采购),2023/12/14 9:12,陈月,49167
51,https://cg.sz-water.com.cn:443/hfcggg/23190.jhtml,团队建设及目标管理培训课程采购公告,2023/12/4 9:12,陈月,49167
53,https://cg.sz-water.com.cn:443/hfcggg/21925.jhtml,原水公司2023年度工作汇报培训服务采购项目(二次采购),2023/11/17 12:11,李洁怡,22000
54,https://cg.sz-water.com.cn:443/hfcggg/21769.jhtml,水务科技2023年度“商务演讲与工作汇报“培训服务项目采购公告,2023/11/15 16:11,符颖,25000
56,https://cg.sz-water.com.cn:443/hfcggg/21383.jhtml,原水公司2023年度工作汇报培训服务采购项目采购公告,2023/11/9 17:11,李洁怡,22000
57,https://cg.sz-water.com.cn:443/hfcggg/20807.jhtml,深圳环水集团2023年新员工入职素质拓展培训服务采购项目(二次采购),2023/10/31 11:10,宣言,248000
58,https://cg.sz-water.com.cn:443/hfcggg/20538.jhtml,集团2023年新员工入职培训纪录片制作服务采购采购公告,2023/10/26 18:10,宣言,94000
59,https://cg.sz-water.com.cn:443/hfcggg/20446.jhtml,深圳环水集团2023年新员工入职素质拓展培训服务采购项目采购公告,2023/10/25 19:10,宣言,248000
60,https://cg.sz-water.com.cn:443/hfcggg/20391.jhtml,深圳水务集团2023年新员工入职培训读书会活动培训服务采购公告,2023/10/24 17:10,宣言,38000
61,https://cg.sz-water.com.cn:443/hfcggg/19779.jhtml,深水培训中心2023年（第十七届）中国城镇水务发展国际研讨会直播服务项目采购公告,2023/10/13 18:10,支钜弘,50000
63,https://cg.sz-water.com.cn:443/hfcggg/18221.jhtml,深圳水务集团2023年人力资源管理专项培训采购项目采购公告,2023/9/8 21:09,尹磊,150000
64,https://cg.sz-water.com.cn:443/hfcggg/17853.jhtml,思政培训策划执行服务采购公告,2023/8/31 10:08,刘沃林,90000
65,https://cg.sz-water.com.cn:443/hfcggg/17730.jhtml,环水投资集团党建培训采购公告,2023/8/28 19:08,宁女士,48000
66,https://www.szft.gov.cn/ftqrlzyj/gkmlpt/content/10/10210/post_10210856.html,招标公告,2022/11/1 17:49,杨小姐,80万
67,https://www.szpsq.gov.cn/pscsglj/gkmlpt/content/9/9835/post_9835828.html,坪山区城市管理和综合执法局关于2022年坪山区生活垃圾分类业务培训服务采购公告,2022/5/30 17:48,古旭培,18万
68,https://www.szns.gov.cn/xxgk/bmxxgk/qcgj/qtgk_157931/xxxm/zbgg/content/post_12123166.html,2025年南山区城市管理和综合执法局党员党性教育培训,2025/4/14,谢新奇,33.78476万元
69,http://www.szns.gov.cn/xxgk/bmxxgk/qcgj/qtgk_157931/xxxm/zbgg/content/post_12220307.html,2025年南山区街道综合执法业务培训 ,2025/6/10,杨工,78.5万元
70,https://cgj.sz.gov.cn/zwgk/zbxx/zbgg/content/post_11342786.html,2024年度全市城管执法系统业务培训项目招标公告,2024/6/6,杨小姐,67.9万元
71,https://cgj.sz.gov.cn/zwgk/zbxx/zbgg/content/post_10815386.html,全市城管执法系统业务培训（二次招标）招标公告,2023/9/1,杨小姐,59.45万元
72,https://cgj.sz.gov.cn/zwgk/zbxx/zbgg/content/post_10795334.html,全市城管执法系统业务培训招标公告,2023/8/21,杨小姐,59.45万元
