公司名称
中国北方稀土(集团)高科技股份有限公司
浙江核新同花顺网络信息股份有限公司
普蕊斯(上海)医药科技开发股份有限公司
曙光数据基础设施创新技术(北京)股份有限公司
天娱数字科技(大连)集团股份有限公司
中际联合(北京)科技股份有限公司
潮州三环(集团)股份有限公司
大位数据科技(广东)集团股份有限公司
统一低碳科技(新疆)股份有限公司
欣龙控股(集团)股份有限公司
明阳科技(苏州)股份有限公司
和元生物技术(上海)股份有限公司
金凯(辽宁)生命科技股份有限公司
金三江(肇庆)硅材料股份有限公司
深圳市广聚能源股份有限公司
南京音飞储存设备(集团)股份有限公司
矽电半导体设备(深圳)股份有限公司
长春高新技术产业(集团)股份有限公司
深圳经济特区房地产(集团)股份有限公司
博瑞生物医药(苏州)股份有限公司
灿芯半导体(上海)股份有限公司
胜宏科技(惠州)股份有限公司
宇通重工股份有限公司
河北福成五丰食品股份有限公司
长江精工钢结构(集团)股份有限公司
五矿新能源材料(湖南)股份有限公司
福立旺精密机电(中国)股份有限公司
上海大众公用事业(集团)股份有限公司
建科智能装备制造(天津)股份有限公司
格科微有限公司
浙大网新科技股份有限公司
力合科技(湖南)股份有限公司
上海豫园旅游商城(集团)股份有限公司
中化装备科技(青岛)股份有限公司
中国海洋石油有限公司
用友汽车信息科技(上海)股份有限公司
康泰医学系统(秦皇岛)股份有限公司
上海锦江航运(集团)股份有限公司
麦克奥迪(厦门)电气股份有限公司
上海岩山科技股份有限公司
熊猫金控股份有限公司
碧兴物联科技(深圳)股份有限公司
天津膜天膜科技股份有限公司
凯撒(中国)文化股份有限公司
陕西广电网络传媒(集团)股份有限公司
北京沃尔德金刚石工具股份有限公司
嘉必优生物技术(武汉)股份有限公司
胜科纳米(苏州)股份有限公司
恒进感应科技(十堰)股份有限公司
上海微创心脉医疗科技(集团)股份有限公司
诚迈科技(南京)股份有限公司
张家港保税科技(集团)股份有限公司
开勒环境科技(上海)股份有限公司
恒玄科技(上海)股份有限公司
南京中央商场(集团)股份有限公司
亚翔系统集成科技(苏州)股份有限公司
冠城大通新材料股份有限公司
亿帆医药股份有限公司
百济神州有限公司
好利来(中国)电子科技股份有限公司
海看网络科技(山东)股份有限公司
康龙化成(北京)新药技术股份有限公司
